,Pre,Rel,simi,incorrect
0,Mathematics for Computer Science,Mathematics for Computer Science,1.0,
1,From Nand to Tetris Part I,Build a Modern Computer from First Principles: From Nand to Tetris,0.8291351020271523,
2,Object-Oriented Design,Object-Oriented Design,1.0,
3,"Programming Languages, Part B","Programming Languages, Part B",1.0,
4,How to Code: Simple Data,How to Code - Simple Data,0.7476671084955557,
5,Python for Everybody,Object-Oriented Design,0.7436274641961362,
6, Object-Oriented Design,Object-Oriented Design,0.7436274641961362,
7,C++ for Everybody,,0.62699870317674,Software Engineering: Introduction
8, Java for Everybody,,0.62699870317674,Software Engineering: Introduction
9, Linear Algebra,,0.62699870317674,Software Engineering: Introduction
10,"Programming Languages, Part A","Programming Languages, Part A",1.0,
11,Calculus 1C,Calculus 1A: Differentiation,0.7430399270426051,
12,Linear Algebra,Software Architecture,0.7872536002295377,
13,Core Programming,Core Programming,1.0,
14,Core Programming,Software Engineering: Introduction,0.7986300063762872,
15, Project,Software Engineering: Introduction,0.7986300063762872,
16,C Programming,Core Programming,0.8721695605519575,
17,high school algebra,,0.6015293017011677,Software Architecture
18,Python for Everybody,Python for Everybody,1.0,
19,Java for Everybody,Python for Everybody,0.8871626800621236,
20,Linear Algebra,,0.7368681645642223,Databases: Semistructured Data
21, Probability,,0.7368681645642223,Databases: Semistructured Data
22, basic CS,,0.7368681645642223,Databases: Semistructured Data
23,high school math,,0.670472801091261,Software Debugging
24,Calculus 1A,Calculus 1A: Differentiation,0.760565310168238,
25,Design Patterns,Design Patterns,1.0,
26,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms","Divide and Conquer, Sorting and Searching, and Randomized Algorithms",1.0,
27,How to Code (Hear instructor),,0.6445634936030237,How to Code - Simple Data
28,"Graph Search, Shortest Paths, and Data Structures","Graph Search, Shortest Paths, and Data Structures",1.0,
29,-,,0.2286490877534739,Computer Networking: a Top-Down Approach
30,Scala Programming,Core Programming,0.8705373490290178,
31,"Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming","Greedy Algorithms, Minimum Spanning Trees, and Dynamic Programming",1.0,
32,Calculus 1B,Calculus 1B: Integration,0.7618598006821042,
